location_area_id,name
1,Canalave City
2,Eterna City
3,Pastoria City
4,Sunyshore City
5,Sinnoh League
6,Oreburgh mine (1F)
7,Oreburgh mine (B1F)
8,Valley Windworks
9,Eterna Forest
10,Fuego Ironworks
11,Mount Coronet (1F Road 207)
12,Mount Coronet (2F)
13,Mount Coronet (3F)
14,Mount Coronet (exterior snowfall)
15,Mount Coronet (exterior blizzard)
16,Mount Coronet (4F)
17,Mount Coronet (4F small room)
18,Mount Coronet (5F)
19,Mount Coronet (6F)
20,Mount Coronet (1F from exterior)
21,Mount Coronet (1F Road 216)
22,Mount Coronet (1F Road 211)
23,Mount Coronet (B1F)
24,Great Marsh Area 1
25,Great Marsh Area 2
26,Great Marsh Area 3
27,Great Marsh Area 4
28,Great Marsh Area 5
29,Great Marsh Area 6
30,Solaceon Ruins (2F)
31,Solaceon Ruins (1F)
32,Solaceon Ruins (B1F A)
33,Solaceon Ruins (B1F B)
34,Solaceon Ruins (B1F C)
35,Solaceon Ruins (B2F A)
36,Solaceon Ruins (B2F B)
37,Solaceon Ruins (B2F C)
38,Solaceon Ruins (B3F A)
39,Solaceon Ruins (B3F B)
40,Solaceon Ruins (B3F C)
41,Solaceon Ruins (B3F D)
42,Solaceon Ruins (B3F E)
43,Solaceon Ruins (B4F A)
44,Solaceon Ruins (B4F B)
45,Solaceon Ruins (B4F C)
46,Solaceon Ruins (B4F D)
47,Solaceon Ruins (B5F)
48,Victory Road (1F)
49,Victory Road (2F)
50,Victory Road (B1F)
51,Victory Road (inside B1F)
52,Victory Road (inside)
53,Victory Road (inside exit)
54,Ravaged Path
55,Oreburgh Gate (1F)
56,Oreburgh Gate (B1F)
57,Stark Mountain exterior
58,Stark Mountain entrance
59,Stark Mountain main cavern
60,Sendoff Spring
61,Turnback Cave (pillar 1)
62,Turnback Cave (pillar 2)
63,Turnback Cave (pillar 3)
64,Turnback Cave (before pillar 1)
70,Turnback Cave (between pillars 1 and 2)
76,Turnback Cave (between pillars 2 and 3)
82,Turnback Cave (after pillar 3)
107,Snowpoint Temple (1F)
108,Snowpoint Temple (B1F)
109,Snowpoint Temple (B2F)
110,Snowpoint Temple (B3F)
111,Snowpoint Temple (B4F)
112,Snowpoint Temple (B5F)
113,Wayward Cave (1F)
114,Wayward Cave (B1F)
115,Ruin Maniac Cave (0–9 different Unown caught)
116,Ruin Maniac Cave (10–25 different Unown caught)
117,Maniac Tunnel (26+ different Unown caught)
118,Trophy Garden
119,Iron Island area
120,Iron Island (1F)
121,Iron Island (B1F left)
122,Iron Island (B1F right)
123,Iron Island (B2F right)
124,Iron Island (B2F left)
125,Iron Island (B3F)
126,Old Chateau (entrance)
127,Old Chateau (dining room)
128,Old Chateau (2F private room)
129,Old Chateau (2F)
130,Old Chateau (2F leftmost room)
131,Old Chateau (2F left room)
132,Old Chateau (2F middle room)
